JD,RV,RV_err,source
2413836.05,19.5,1.0,Lick v16
2413902.86,18.6,1.0,Lick v16
2413930.77,17.7,1.0,Lick v16
2414315.7,18.5,1.0,Lick v16
2414335.66,17.8,1.0,Lick v16
2415400.5,24.8,1.0,Bottlinger1911
2415763.5,19.8,1.0,Bottlinger1911
2416070.5,20.1,1.0,Bottlinger1911
2416373.88,20.5,1.0,Lick v16
2416430.77,20.1,1.0,Lick v16
2416450.98,18.9,1.0,Lick v16
2416456.93,18.0,1.0,Lick v16
2416566.5,19.3,1.0,Bottlinger1911
2416567.5,19.4,1.0,Bottlinger1911
2416855.5,21.9,1.0,Bottlinger1911
2416859.5,23.9,1.0,Bottlinger1911
2416860.5,22.5,1.0,Bottlinger1911
2416865.5,19.4,1.0,Bottlinger1911
2416885.5,27.89,2.8,Kunster1908
2416905.5,25.3,2.5,Kunster1908
2417209.5,26.46,2.7,Kunster1908
2417237.76,23.2,1.0,Lick v16
2417273.5,26.64,2.1,Kunster1908
2417637.5,25.1,1.0,Bottlinger1911
2417638.5,24.3,1.0,Bottlinger1911
2417881.03,22.2,1.0,Lick v16
2417881.05,22.4,1.0,Lick v16
2417887.95,21.7,1.0,Lick v16
2417890.98,21.5,1.0,Lick v16
2417895.87,21.6,1.0,Lick v16
2417901.89,21.0,1.0,Lick v16
2417903.93,20.8,1.0,Lick v16
2417903.95,20.0,1.0,Lick v16
2417904.88,21.4,1.0,Lick v16
2417906.96,22.4,1.0,Lick v16
2417909.87,19.7,1.0,Lick v16
2417910.02,19.9,1.0,Lick v16
2417927.72,19.2,1.0,Lick v16
2417933.81,20.5,1.0,Lick v16
2417943.92,19.45,1.0,Lick v16
2417946.8,20.7,1.0,Lick v16
2417946.82,20.3,1.0,Lick v16
2417950.84,21.5,1.0,Lick v16
2417969.74,20.3,1.0,Lick v16
2417989.75,21.0,1.0,Lick v16
2418033.64,20.3,1.0,Lick v16
2418034.65,20.5,1.0,Lick v16
2418038.65,20.5,1.0,Lick v16
2418040.67,20.8,1.0,Lick v16
2418041.7,21.2,1.0,Lick v16
2418044.66,20.6,1.0,Lick v16
2418048.65,20.6,1.0,Lick v16
2418049.65,21.5,1.0,Lick v16
2418051.68,20.4,1.0,Lick v16
2418198.5,21.5,1.0,Cape v10
2418205.5,19.7,1.0,Cape v10
2418206.5,20.9,1.0,Cape v10
2418214.5,20.4,1.0,Cape v10
2418319.5,17.6,1.0,Cape v10
2418320.5,16.9,1.0,Cape v10
2418327.5,17.3,1.0,Cape v10
2418329.5,16.8,1.0,Cape v10
2418343.5,18.5,1.0,Cape v10
2418352.5,18.2,1.0,Cape v10
2418353.5,19.4,1.0,Cape v10
2418362.5,17.4,1.0,Cape v10
